GEOID,avg_annual_crimes,population,crimes_per_1k
17031300700,343.06666666666666,4791,71.6
17031300800,349.4,4192,83.3
17031300900,409.4,3937,104.0
17031301100,181.53333333333333,2409,75.4
17031301200,268.26666666666665,5209,51.5
17031301600,250.8,3247,77.2
17031301701,214.73333333333332,4205,51.1
17031301702,183.6,4086,44.9
17031301801,211.33333333333334,4086,51.7
17031301802,358.0,2623,136.5
17031301803,254.0,3168,80.2
17031310200,133.4,1824,73.1
17031310300,149.33333333333334,1836,81.3
17031310400,74.86666666666666,1456,51.4
17031310500,101.8,1599,63.7
17031310600,389.06666666666666,5542,70.2
17031310700,108.4,1354,80.1
17031310800,284.06666666666666,4633,61.3
17031310900,326.73333333333335,4914,66.5
17031320101,336.3333333333333,8705,38.6
17031320102,1802.4,5429,332.0
17031320400,1056.3333333333333,3004,351.6
17031320600,410.6,6116,67.1
17031330101,253.4,5011,50.6
17031330102,579.8,9617,60.3
17031330103,458.26666666666665,8471,54.1
17031330200,331.8666666666667,3969,83.6
17031340300,61.0,1698,35.9
17031340400,117.93333333333334,1630,72.4
17031340500,172.86666666666667,1558,111.0
17031340600,272.26666666666665,1317,206.7
17031350100,115.73333333333333,2439,47.5
17031350400,266.4,1777,149.9
17031351000,383.8666666666667,3526,108.9
17031351100,334.2,2160,154.7
17031351400,283.4,1569,180.6
17031351500,76.13333333333334,946,80.5
17031360200,181.93333333333334,1672,108.8
17031380100,257.0,1928,133.3
17031380200,139.26666666666668,1723,80.8
17031380600,665.2,4025,165.3
17031381200,289.0,1906,151.6
17031381400,407.8,1615,252.5
17031381500,81.8,670,122.1
17031381800,348.93333333333334,1483,235.3
17031381900,149.53333333333333,1348,110.9
17031390100,188.06666666666666,1854,101.4
17031390200,190.86666666666667,2178,87.6
17031390300,362.6,2664,136.1
17031390400,375.73333333333335,2289,164.1
17031390500,102.93333333333334,1766,58.3
17031390600,100.93333333333334,1824,55.3
17031390700,332.06666666666666,6062,54.8
17031400300,483.26666666666665,1361,355.1
17031400400,481.0,2204,218.2
17031400500,575.5333333333333,2634,218.5
17031400800,604.9333333333333,2768,218.5
17031410100,138.66666666666666,2251,61.6
17031410200,45.4,1281,35.4
17031410500,207.06666666666666,3405,60.8
17031410600,104.0,2249,46.2
17031410700,160.4,2541,63.1
17031410800,239.46666666666667,2890,82.9
17031410900,193.4,3527,54.8
17031411000,211.93333333333334,3931,53.9
17031411100,111.73333333333333,2388,46.8
17031411200,66.2,1643,40.3
17031420100,211.6,1629,129.9
17031420200,167.53333333333333,1796,93.3
17031420300,122.66666666666667,2495,49.2
17031420400,191.46666666666667,1327,144.3
17031420500,435.46666666666664,2040,213.5
17031420600,528.4,2663,198.4
17031420700,1309.6,2274,575.9
17031420800,511.06666666666666,2322,220.1
17031421200,329.06666666666666,1986,165.7
17031430101,746.6,3468,215.3
17031430102,378.6,3542,106.9
17031430200,882.4666666666667,5455,161.8
17031430300,485.4,2611,185.9
17031430400,563.0666666666667,2999,187.8
17031430500,772.6,3882,199.0
17031430600,386.8666666666667,2218,174.4
17031430700,266.26666666666665,2256,118.0
17031430800,251.6,2016,124.8
17031430900,284.73333333333335,1681,169.4
17031431200,488.3333333333333,2399,203.6
17031431301,905.8666666666667,3555,254.8
17031431302,1047.1333333333334,3788,276.4
17031431400,920.7333333333333,7565,121.7
17031440101,1111.0666666666666,3986,278.7
17031440102,876.4,3320,264.0
17031440201,798.6,6096,131.0
17031440202,453.8666666666667,2763,164.3
17031440300,633.8666666666667,4650,136.3
17031440600,267.93333333333334,1612,166.2
17031440700,188.33333333333334,1453,129.6
17031440800,260.46666666666664,1877,138.8
17031440900,402.06666666666666,2377,169.1
17031450300,537.8,3461,155.4
17031460100,663.9333333333333,2650,250.5
17031460200,368.6,1880,196.1
17031460301,453.73333333333335,3189,142.3
17031460302,720.5333333333333,4212,171.1
17031460400,567.9333333333333,3682,154.2
17031460500,852.6666666666666,6284,135.7
17031460800,726.0666666666667,4376,165.9
17031461000,335.3333333333333,1346,249.1
17031470100,423.46666666666664,2246,188.5
17031480100,333.73333333333335,2161,154.4
17031480200,181.46666666666667,1057,171.7
17031480300,211.53333333333333,1131,187.0
17031480400,600.2666666666667,5013,119.7
17031480500,386.46666666666664,2725,141.8
17031490200,437.4,2944,148.6
17031490500,361.1333333333333,1775,203.5
17031490600,477.0,1446,329.9
17031490700,460.46666666666664,2459,187.3
17031490800,635.5333333333333,3705,171.5
17031490901,661.8,3084,214.6
17031490902,793.2666666666667,4697,168.9
17031491000,1192.5333333333333,3417,349.0
17031491100,503.53333333333336,4205,119.7
17031491200,404.8666666666667,1932,209.6
17031491300,561.0,2131,263.3
17031491400,857.4,2541,337.4
17031500100,378.6666666666667,3231,117.2
17031500200,454.8666666666667,1831,248.4
17031500300,262.6666666666667,1794,146.4
17031510100,228.4,3639,62.8
17031510200,294.53333333333336,3714,79.3
17031510300,869.8666666666667,4640,187.5
17031520100,194.93333333333334,2062,94.5
17031520200,309.53333333333336,3652,84.8
17031520300,329.8666666666667,5925,55.7
17031520400,227.4,4393,51.8
17031520500,160.86666666666667,5171,31.1
17031520600,163.8,2739,59.8
17031530100,424.8666666666667,1915,221.9
17031530200,1004.1333333333333,4358,230.4
17031530300,597.8,3484,171.6
17031530400,264.6666666666667,2356,112.3
17031530501,884.5333333333333,5118,172.8
17031530502,227.86666666666667,1464,155.6
17031530503,672.9333333333333,4369,154.0
17031530600,504.06666666666666,2385,211.3
17031540101,683.1333333333333,4460,153.2
17031540102,615.5333333333333,3357,183.4
17031550100,490.8666666666667,6201,79.2
17031550200,163.6,2824,57.9
17031560100,117.26666666666667,1284,91.3
17031560200,201.6,1372,146.9
17031560300,151.06666666666666,3079,49.1
17031560400,178.6,1744,102.4
17031560700,204.13333333333333,3584,57.0
17031560800,261.3333333333333,6003,43.5
17031560900,176.73333333333332,5131,34.4
17031561000,172.46666666666667,6040,28.6
17031561100,214.0,5888,36.3
17031570100,143.53333333333333,1421,101.0
17031570200,200.6,2084,96.3
17031570300,350.6,5951,58.9
17031570400,206.6,1712,120.7
17031570500,138.2,2699,51.2
17031580100,193.33333333333334,2662,72.6
17031580200,205.46666666666667,2988,68.8
17031580300,108.86666666666666,2569,42.4
17031580400,325.53333333333336,4672,69.7
17031580501,333.93333333333334,4716,70.8
17031580502,255.46666666666667,4932,51.8
17031580600,309.3333333333333,5402,57.3
17031580700,312.06666666666666,6137,50.9
17031580800,149.13333333333333,2096,71.2
17031590500,189.93333333333334,1672,113.6
17031590600,169.6,3813,44.5
17031590700,183.0,2914,62.8
17031600400,141.53333333333333,3963,35.7
17031600600,128.66666666666666,2953,43.6
17031600700,142.66666666666666,2870,49.7
17031600900,262.3333333333333,3733,70.3
17031610300,548.4,5670,96.7
17031610400,203.93333333333334,1888,108.0
17031610800,83.8,1521,55.1
17031611200,362.1333333333333,2072,174.8
17031611300,402.46666666666664,3409,118.1
17031611400,273.8,3587,76.3
17031611500,234.26666666666668,3273,71.6
17031611600,204.2,1995,102.4
17031611700,335.26666666666665,1847,181.5
17031611800,341.53333333333336,2186,156.2
